Ano,Municipio,Total Crimes,1º série_matrículas,2º série_matrículas,3º série_matrículas,4º série_matrículas,Anos finais_docentes,Anos finais_escolas,Anos iniciais_docentes,Anos iniciais_escolas,Creche_docentes,Creche_escolas,Creche_matrículas,Ensino fundamental_docentes,Ensino fundamental_escolas,Ensino fundamental_matrículas,Ensino infantil_docentes,Ensino infantil_escolas,Ensino infantil_matrículas,Ensino médio_docentes,Ensino médio_escolas,Ensino médio_matrículas,Estadual_docentes,Estadual_escolas,Estadual_matrículas,Federal_docentes,Federal_escolas,Federal_matrículas,Municipal_docentes,Municipal_escolas,Municipal_matrículas,Não seriada_matrículas,Privado_docentes,Privado_escolas,Privado_matrículas,Pré-escolar_docentes,Pré-escolar_escolas,Pré-escolar_matrículas,IDEB
-1.343385137146655,abreu e lima,0.5086887382152849,0.25737199628753726,0.15447318857733153,0.13026790281258224,-0.2763598562621387,0.16857174151939244,0.25224471915561364,0.22686907432976788,0.32419509169156585,-0.24327355608505008,-0.19538531111728494,-0.19102146289065491,0.19531468993481751,0.32157470000485666,0.21847451350592503,-0.06828183192722712,0.2612048309118049,-0.010726550154027794,0.2451840149756625,0.3425247755772658,0.16478560452777954,0.8093544304108109,0.7162498526229653,0.6586369974727937,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,0.05935011710682853,0.9849081112541321,0.344041861523497,-0.24332261090520502,0.14381268272642717,0.24836266558072612,0.2136438539206261,0.05532116666891289,0.3069237052525535,0.0945222116979338,-1.2254428947726344
-1.343385137146655,afogados da ingazeira,-0.20379069356007912,-0.1542972562825598,-0.08017710323228086,-0.05161705196545141,0.11025613903441137,-0.10624436533983318,-0.08142562976344969,-0.19056147291222789,-0.15011121144222347,-0.1369867849070272,-0.21685839924716635,-0.11955354435396952,-0.15103852355638606,-0.15824750150768643,-0.1546515264963117,-0.1656968326794466,-0.1759452866510043,-0.12951984695874683,-0.056252797820437773,-0.08863918620320477,-0.10430242704964914,-0.07150995995734992,-0.1058291691739794,-0.17722434617323948,-0.09638998413413463,-0.09644856443408242,0.26957311634640857,-0.07951546532141038,0.06622666526581868,-0.10230539347400999,-0.24332261090520502,-0.20636585520046224,-0.24657060961392516,-0.20814847429513292,-0.19106336558272144,-0.16013410708828876,-0.13390954874594851,0.768752621216597
-1.343385137146655,agrestina,-0.19564807148264637,-0.23948511632069966,-0.2126177587321848,-0.24548245286658907,-0.06818201264091943,-0.2470592300115025,-0.23309397018120576,-0.2409757902119858,-0.24191243140360205,-0.12180296045302393,-0.0021275179483523205,-0.16666943138926582,-0.23875135034961292,-0.2619928423752633,-0.2534171263854521,-0.15561941880852734,-0.19004690334657878,-0.20217029293849237,-0.25898906129392113,-0.3281747205256884,-0.2336923839144962,-0.4350412956648449,-0.4711976233059548,-0.23576716401615233,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,-0.20061917092743273,-0.09494551824090297,-0.2705339549490341,-0.24332261090520502,-0.19878418184886518,-0.19000680673453646,-0.18483578340279505,-0.1596100210399596,-0.206839888322373,-0.2206518794009903,-0.9822483196519961
-1.343385137146655,altinho,-0.23500407819023791,-0.24510665023184594,-0.21117818638979455,-0.20899654876440868,-0.2763598562621387,-0.20617749510682432,-0.20276030209765453,-0.2873569621277631,-0.11951080478843061,-0.2812331172200583,-0.34569692802645474,-0.2910765488420145,-0.2691134827011145,-0.15824750150768643,-0.28382653477237163,-0.22952045386193523,-0.11953881986870633,-0.28267484118631847,-0.24565114922329723,-0.2802676136611917,-0.22338426606676165,-0.2742485894865298,-0.28851339623996713,-0.3138242544733694,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,-0.35320983999102085,-0.12717995494224732,-0.4121297551636479,-0.15572243410482428,-0.18030385305434732,-0.19000680673453646,-0.20490631198560247,-0.18582114149226114,-0.0978597321095098,-0.2746729038302868,-1.3227207248208892
-1.343385137146655,amaraji,-0.38292837926359924,-0.29613288111763525,-0.24908692473940472,-0.2874140142974531,-0.2763598562621387,-0.2629576824744329,-0.3544286425154106,-0.26315808982387934,-0.16541141476911989,-0.19013017049603864,-0.38864310428621757,-0.2979586447011027,-0.26011729533770667,-0.18418383672458064,-0.25378099964820156,-0.18921079837825822,-0.16184366995542981,-0.2909216485678031,-0.29900279750579284,-0.2802676136611917,-0.2795404304611364,-0.4350412956648449,-0.4711976233059548,-0.27736337669401145,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,-0.27570346840316656,-0.24000048339695246,-0.32719284087369077,-0.24332261090520502,-0.21015669187626076,-0.21828870817423082,-0.17457751323824902,-0.18582114149226114,-0.14456551334359402,-0.28362495930714166,-1.2740818097967619
-1.343385137146655,angelim,-0.4100704528550417,-0.3078083746254006,-0.29467338224842965,-0.2934042373590051,-0.2763598562621387,-0.35153477476790235,-0.3847623105989618,-0.35188728827145327,-0.44081507465325565,-0.34196841503607134,-0.410116192416099,-0.33448669195318637,-0.34783012213093356,-0.41761085367662865,-0.34963561343534627,-0.36724511009783173,-0.40157115378019614,-0.36003774852691234,-0.31500829199054153,-0.3281747205256884,-0.30000281365141546,-0.30920352561225045,-0.28851339623996713,-0.3594003516975669,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,-0.5009563608303681,-0.6590481605144288,-0.4513076780988461,-0.24332261090520502,-0.28407800705433217,-0.3031344124933139,-0.2971192405299455,-0.36405676056791153,-0.40923160700340466,-0.37098467309851824,-1.2740818097967619
-1.343385137146655,araripina,0.04048796876290286,0.24050739455409845,0.21253593972040535,0.10086135323769058,1.4782819685452808,0.44565905587332244,0.25224471915561364,0.2551010920176323,0.9668036314212158,-0.015516189275001029,-0.0021275179483523205,0.005382965087939802,0.33250654722678774,0.8662377395596355,0.31224985150592993,0.14670299731905037,0.8252694987347845,0.2914600346103732,0.3305466522276555,0.39043188244176247,0.20017168072149513,0.8233364048610992,0.44222351202398374,0.3943384280299358,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,0.6785937317722895,2.129230614151856,0.5802747966673165,0.06327800789612757,-0.03388278645162903,-0.04859729953606465,-0.04033594210205093,0.22831456165410294,0.9296674550403432,0.45507396331746697,-1.0308872346761235
-1.343385137146655,arcoverde,0.08798659754792713,0.18083264995885326,0.15207390134001444,0.12427767975103024,0.1697355229261883,0.07545223423651434,0.10057637873785759,0.1482227393421455,0.06409163513432654,-0.17494634604203538,-0.13096604672764073,0.001147829174654741,0.11322448024372056,0.08814768305280869,0.13774663107022236,-0.02125390052960392,0.007375730391464067,0.12829105999099877,0.0904642349564252,0.05508213439028542,0.13970764618179848,0.7674085070599461,0.8075919661559592,0.24425826562124042,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,0.11102103149873149,-0.17553160999426382,-0.08019711675204781,-0.24332261090520502,0.041460092479866796,0.03624840478301843,0.16861259653681926,0.08153228712121441,0.04225761159274289,0.20102080271568973,-0.15538676424182762
-1.343385137146655,barra de guabiraba,-0.40735624549589744,-0.3043489691416183,-0.3037906737502346,-0.255829201791088,-0.023572474722086727,-0.3924165096725805,-0.415095978682513,-0.3176055525076179,-0.48671568463394493,-0.31919267835506643,-0.410116192416099,-0.34242757179059585,-0.35232821581263746,-0.44354718889352285,-0.34682859112270753,-0.34709028235599326,-0.4720792372580686,-0.35571799227946804,-0.2936676326775433,-0.3281747205256884,-0.28846387576216037,-0.32318550006253877,-0.28851339623996713,-0.39044345115900625,-0.09638998413413463,-0.09644856443408242,-0.2866483651679127,-0.5179108796152112,-0.868571999073167,-0.4596368428173528,-0.24332261090520502,-0.25754215032374245,-0.26542521057372137,-0.26277633606603057,-0.3483300882965306,-0.4870745757268784,-0.3595630850763241,-0.10674784921770021
-1.343385137146655,barreiros,-0.21736173035580034,0.01780816653561104,-0.04562736701491462,-0.015131147863271004,0.660440440033348,0.020943254363610088,0.16124371490496,-0.09578255638868294,-0.04300978815394846,-0.21290590717704355,-0.19538531111728494,-0.14919949574696495,-0.05657855624060327,-0.028565825423215313,-0.048452515668146526,-0.16233769472247353,-0.04903073639083389,-0.07964629755643504,0.11180489426942343,0.007175027525788689,-0.01599108907055019,0.5297149414050456,0.259539284957996,-0.052243133080968354,-0.09638998413413463,-0.09644856443408242,1.5905991349429216,-0.1836646521425896,-0.07882829989023081,-0.04739460384829923,-0.24332261090520502,-0.032461222698204575,-0.02738587345629388,-0.06758248110275895,-0.13339890058765808,-0.03558535713073083,-0.03821516261405187,-1.5659152999415276
